atc,atc_code,year,metric,nsw,vic,qld,sa,wa,tas,act,nt,total
Dermatologicals,D,1998,services,1763799,1164876,1065474,548456,492576,179326,61532,21807,5297846
Dermatologicals,D,1999,services,1871481,1247318,1142117,587330,535910,191799,68853,21990,5666798
Dermatologicals,D,2000,services,1949844,1285990,1174066,580789,555791,197943,71937,21252,5837612
Dermatologicals,D,2001,services,1917215,1300763,1227304,644670,578844,205424,70526,23086,5967832
Dermatologicals,D,2002,services,1726720,1169045,1103100,565048,538104,186816,65458,20612,5374903
Dermatologicals,D,2003,services,1309576,927147,878440,448785,423998,151089,48514,15856,4203405
Dermatologicals,D,2004,services,1213234,864729,817513,426091,371282,139052,44644,15052,3891597
Dermatologicals,D,2005,services,1120969,808317,766727,390387,338848,128885,40075,13470,3607678
Dermatologicals,D,2006,services,1044514,760888,706187,357195,310406,118046,36850,12342,3346428
Dermatologicals,D,2007,services,971959,721761,672003,344827,292549,111071,34741,11691,3160602
Dermatologicals,D,2008,services,901457,668503,619092,313400,275292,106855,31522,10962,2927083
Dermatologicals,D,2009,services,841939,654365,573494,322252,244937,95052,29823,10636,2772498
Dermatologicals,D,2010,services,757159,597223,527130,277330,233448,85798,26696,8957,2513741
Dermatologicals,D,2011,services,749152,582496,517031,269898,233758,85471,26476,8748,2473030
Dermatologicals,D,2012,services,882895,687129,586694,305126,275957,91356,31443,9640,2870240
Dermatologicals,D,2013,services,785436,577645,621081,311626,220915,91219,27448,10445,2645815
Dermatologicals,D,2014,services,1090025,861798,645213,312074,351129,98463,38604,11255,3408561
Dermatologicals,D,2015,services,1150067,897978,742076,358301,330453,110967,42480,12743,3645065
Dermatologicals,D,2016,services,1080926,848169,737183,338871,331892,106020,41558,12350,3496969
Dermatologicals,D,2017,services,1127075,879032,761898,344479,349622,107518,45533,12743,3627900
Dermatologicals,D,2018,services,1165917,918070,791097,352966,362065,110872,46191,12811,3759989
Dermatologicals,D,2019,services,1246523,965991,838681,362881,389678,118006,48263,14220,3984243
Dermatologicals,D,2020,services,1323210,1027626,915037,394438,427887,125899,52036,15284,4281417
Dermatologicals,D,2021,services,1320438,1056175,945258,394375,444339,129214,53628,16685,4360112
Dermatologicals,D,2022,services,1361275,1096894,988351,394490,457102,132971,56856,16687,4504626
Dermatologicals,D,2023,services,1528596,1250792,1106986,459206,538358,144605,70514,19064,5118121
Dermatologicals,D,2024,services,1556700,1254897,1044267,448819,527212,143890,69721,19488,5064994
Dermatologicals,D,2025,services,2371117,1883759,1672649,636499,888991,215074,132826,28426,7829341
Dermatologicals,D,2026_ytd,services,719648,585100,510077,183626,300079,66813,48287,9761,2423391
Dermatologicals,D,TOTAL,services,47219438,34168330,30433848,14664351,14403899,4708471,1825744,559132,147983213
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1992,services,612958,390925,283752,137083,126495,56045,15783,4425,1627466
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1994,services,611802,403581,291331,137982,129772,58692,15584,4532,1653276
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1995,services,637693,426712,307479,145962,139052,63574,16003,5146,1741621
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1996,services,649951,441097,324173,151510,146362,64991,16860,5243,1800187
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1997,services,653206,442985,337185,152873,149563,66481,17463,5495,1825251
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1998,services,660282,458091,349834,159712,155362,68018,17760,5906,1874965
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1999,services,728336,509048,389000,177206,172847,74777,20309,6890,2078413
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2000,services,766054,529054,404906,180811,179540,77786,21877,6704,2166732
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2001,services,774886,545809,431967,203881,188482,79844,22735,7539,2255143
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2002,services,806699,568065,450251,200366,197546,83329,23880,7609,2337745
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2003,services,802257,577785,460116,199531,203850,82864,24014,7761,2358178
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2004,services,843304,598836,493480,212563,213224,86753,25191,8701,2482052
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2005,services,845778,605869,497102,210821,210910,88582,24568,8411,2492041
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2006,services,842646,604704,488150,204801,205716,87817,23672,8007,2465513
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2007,services,855471,618333,508185,211642,213361,88200,24185,8580,2527957
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2008,services,860985,617582,513103,206075,214034,90419,23739,8567,2534504
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2009,services,921536,682028,539575,241396,216158,92995,25482,9291,2728461
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2010,services,926518,702706,556805,235106,227513,93895,26131,9241,2777915
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2011,services,927737,711485,560244,233249,230708,94600,26569,9122,2793714
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2012,services,1060404,807417,627490,263669,267410,104737,30214,10200,3171541
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2013,services,895898,650205,640219,264147,206006,101872,25506,10991,2794844
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2014,services,1228227,972035,653335,268973,321844,108963,35768,12385,3601530
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2015,services,1293479,989973,764928,314887,312231,124148,38459,13815,3851920
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2016,services,1146078,894288,732113,296765,304161,113843,35478,12559,3535285
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2017,services,1154101,896146,714154,292171,305341,113056,36010,12474,3523453
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2018,services,1135624,881496,714369,285983,302991,112348,36012,12463,3481286
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2019,services,1178969,891974,713233,285617,312264,116707,36249,12891,3547904
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2020,services,1160635,864360,722748,295184,319495,118583,37584,13321,3531910
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2021,services,1095654,855722,723757,285209,323381,117622,38163,13998,3453506
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2022,services,1167775,921904,772922,292290,331745,120929,40698,14258,3662521
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2023,services,1150104,936953,782816,305984,341092,118807,42353,14981,3693090
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2024,services,1208523,945998,755833,298712,341965,115853,42238,15740,3724862
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2025,services,1290581,997550,864081,329619,394440,128830,45614,16645,4067360
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2026_ytd,services,265496,209927,176422,64489,87041,26758,10609,3925,844667
"Systemic Hormonal Preparations, excl. Sex Hormones",H,TOTAL,services,31159647,23150643,18545058,7746269,7991902,3142718,942760,327816,93006813
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1994,services,5994374,4077378,3010868,1327887,1292401,405144,187673,89134,16384859
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1995,services,5984768,4221294,2901054,1333675,1319247,418825,178885,90211,16447959
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1996,services,5514019,4096222,2843864,1267350,1260893,389878,163660,78835,15614721
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1997,services,5263544,3572126,2698437,1232032,1182079,387569,152175,65898,14553860
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1998,services,5051050,3320625,2676857,1097844,1126357,367812,149676,62218,13852439
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1999,services,4641364,3258756,2464170,986098,1009101,330682,143006,54968,12888145
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2000,services,4600729,3279284,2440154,999871,1014505,326348,143376,51935,12856202
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2001,services,4485893,3180964,2520311,1073329,1047904,325268,139213,54172,12827054
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2002,services,4377291,3117350,2442706,976464,1030956,311192,134515,46815,12437289
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2003,services,4283646,3017936,2386477,930426,1021813,303477,127863,44830,12116468
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2004,services,4382930,3108481,2506606,946656,1034931,303780,130984,47521,12461889
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2005,services,4320299,3148225,2497218,933303,1003595,304032,124366,44956,12375994
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2006,services,4271706,3138495,2463262,911316,935038,294919,123637,45239,12183612
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2007,services,4347593,3170672,2506854,913953,940072,297441,126951,45450,12348986
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2008,services,4411335,3189518,2569152,898122,948155,310852,126333,42564,12496031
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2009,services,4635317,3432345,2677411,1057689,954870,323171,131784,48747,13261334
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2010,services,4442666,3387942,2655577,989258,959312,304376,130559,44687,12914377
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2011,services,4539882,3390134,2793279,978680,978078,327644,136363,46072,13190132
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2012,services,4907120,3636120,2932094,1062090,1114554,350976,146489,48312,14197755
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2013,services,3970182,2764441,2825556,987280,810679,312707,114988,48606,11834439
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2014,services,5317498,4110010,2840452,997411,1244351,327103,160498,53570,15050893
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2015,services,5387013,3932669,3178451,1117861,1166180,361775,164373,60712,15369034
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2016,services,4565526,3450003,2963436,1037524,1137681,319011,148234,56249,13677664
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2017,services,4368201,3242317,2707838,974980,1080481,303175,137001,51391,12865384
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2018,services,4079284,3019372,2594433,914150,1052155,292760,129650,47455,12129259
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2019,services,4283592,3050381,2597106,886655,1065594,299564,130181,48621,12361694
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2020,services,3579050,2443516,2299200,804906,950267,253502,111886,43554,10485881
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2021,services,3124035,2310932,2208297,744229,942246,250319,107992,44371,9732421
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2022,services,3578450,2698242,2369413,787576,953567,260045,125092,46591,10818976
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2023,services,3561375,2800042,2415767,840976,1006496,267714,131476,48792,11072638
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2024,services,3788932,2839965,2451104,834636,1021233,273565,128805,52254,11390494
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2025,services,3952136,2921435,2724701,902312,1148043,293755,131250,55449,12129081
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2026_ytd,services,821420,610411,578165,179997,247572,62221,30070,13725,2543581
"Systemic Hormonal Preparations, excl. Sex Hormones",H,TOTAL,services,150796118,108891280,87579710,33229789,35282994,10655363,4634307,1812054,432881615
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1994,services,166833,128605,79691,42080,43021,14012,6544,1173,481959
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1995,services,180740,148397,85749,47494,49792,15881,7194,1258,536505
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1996,services,198055,160878,90412,53767,52887,15965,7979,1431,581374
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1997,services,207557,171258,96347,56076,55603,17097,8833,1924,614695
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1998,services,214564,181651,101768,59852,58712,17539,9515,2338,645939
"Systemic Hormonal Preparations, excl. Sex Hormones",H,1999,services,247681,204024,118948,67196,65500,20751,10671,2472,737243
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2000,services,303410,236749,140168,72933,75674,25391,13754,3121,871200
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2001,services,327424,264099,160207,89581,87169,27885,15634,3492,975491
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2002,services,360414,286513,178573,92561,94919,29367,17524,3822,1063693
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2003,services,371926,322291,199619,95097,102855,32274,17724,4119,1145905
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2004,services,410352,365502,238691,104253,109201,34763,20068,4711,1287541
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2005,services,439840,389885,263570,109947,117582,36698,21163,5543,1384228
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2006,services,472585,429963,287948,117440,129299,41397,22905,5641,1507178
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2007,services,509912,467959,322086,130165,157628,44628,25008,6589,1663975
"Systemic Hormonal Preparations, excl. Sex Hormones",H,2008,services,545858,497835,349029,133735,176377,48382,25972,7516,1784704
